Purchase_date,Customer_ID,Title,Item_Price,Total_Amount,Quantity,Category,Book_Age,Author,google_rating,google_ratings_count,google_page_count,google_categories,google_description
2019-07-09T16:15:55+00:00,B07FWVVYQ,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T16:15:55+00:00,B07FWVVYQ,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T17:11:36+00:00,B07FWVVXW,Words And Expressions 1 For Class 9- 976,184.0,251.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T17:11:36+00:00,B07FWVVXW,Words And Expressions 1 For Class 9- 976,184.0,251.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T17:11:36+00:00,B07FWVVXW,Words And Expressions 1 For Class 9- 976,184.0,251.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T17:11:36+00:00,B07FWVVXW,Words And Expressions 1 For Class 9- 976,184.0,251.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-09T17:56:55+00:00,B07FWVVRQ,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-09T17:56:55+00:00,B07FWVVRQ,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-09T17:56:55+00:00,B07FWVVRQ,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-09T17:56:55+00:00,B07FWVVRQ,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-10T04:07:43+00:00,B07FWWZZU,Ruchira Bhag - 1 Sanskrit Textbook for Class - 6  - 649,97.0,164.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T04:07:43+00:00,B07FWWZZU,Ruchira Bhag - 1 Sanskrit Textbook for Class - 6  - 649,97.0,164.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T04:07:43+00:00,B07FWWZZU,Ruchira Bhag - 1 Sanskrit Textbook for Class - 6  - 649,97.0,164.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T04:21:14+00:00,B07FWVUSW,Bal RamKatha - TextBook in Hindi for Class - 6  - 645,155.0,222.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T04:21:14+00:00,B07FWVUSW,Bal RamKatha - TextBook in Hindi for Class - 6  - 645,155.0,222.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T05:37:06+00:00,B07FWWTZW,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T05:37:06+00:00,B07FWWTZW,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T05:37:06+00:00,B07FWWTZW,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,152.78,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T06:00:13+00:00,B07FWWVVT,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,118.85,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T06:00:13+00:00,B07FWWVVT,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,118.85,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T06:00:13+00:00,B07FWWVVT,Ruchira Bhag - 2 Sanskrit Textbook for Class - 7  - 755,85.78,118.85,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T06:00:13+00:00,B07FWVXTY,Ruchira Bhag - 1 Sanskrit Textbook for Class - 6  - 649,97.0,130.93,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T06:00:13+00:00,B07FWVXTY,Ruchira Bhag - 1 Sanskrit Textbook for Class - 6  - 649,97.0,130.93,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T06:00:13+00:00,B07FWVXTY,Ruchira Bhag - 1 Sanskrit Textbook for Class - 6  - 649,97.0,130.93,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T11:41:59+00:00,B07FWYTVU,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T11:41:59+00:00,B07FWYTVU,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T12:46:22+00:00,B07FWYURR,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,880.0,997.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T12:46:22+00:00,B07FWYURR,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,880.0,997.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T13:07:38+00:00,B07FWXXXW,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-10T13:07:38+00:00,B07FWXXXW,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-10T13:07:38+00:00,B07FWXXXW,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-10T13:07:38+00:00,B07FWXXXW,Mathematics Textbook for Class - 6  - 650,285.0,352.0,1,school,11,by NCERT (Author),0.0,0,0,Unknown,
2019-07-10T13:28:25+00:00,B07FWWZZY,Fundamentals of Physical Geography - Textbook for Class - 11  - 11092,111.0,178.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T13:28:25+00:00,B07FWWZZY,Fundamentals of Physical Geography - Textbook for Class - 11  - 11092,111.0,178.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T13:55:31+00:00,B07FWWUYQ,Bal RamKatha - TextBook in Hindi for Class - 6  - 645,155.0,222.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T13:55:31+00:00,B07FWWUYQ,Bal RamKatha - TextBook in Hindi for Class - 6  - 645,155.0,222.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T14:24:44+00:00,B07FWVAVQ,Fundamentals of Physical Geography - Textbook for Class - 11  - 11092,111.0,178.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T14:24:44+00:00,B07FWVAVQ,Fundamentals of Physical Geography - Textbook for Class - 11  - 11092,111.0,178.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T14:35:41+00:00,B07FWWBRY,Fundamentals of Physical Geography - Textbook for Class - 11  - 11092,111.0,178.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T14:35:41+00:00,B07FWWBRY,Fundamentals of Physical Geography - Textbook for Class - 11  - 11092,111.0,178.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T15:44:32+00:00,B07FWWUUR,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T15:44:32+00:00,B07FWWUUR,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T15:55:53+00:00,B07FWYVWU,English 9th class workbook Words & Expression Ncert,180.0,247.0,1,School,5,Unknown Author,0.0,0,259,Study Aids,"Description of the product: • 100% Updated with Latest Syllabus & Fully Solved Board Paper • Crisp Revision with Topic wise Revision Notes, Mind Maps & Mnemonics • Extensive Practice with 2000+ Questions & 2 Practice Papers • Concept Clarity with 1000+concepts, Smart Mind Maps & Mnemonics • Final Boost with 50+ concept videos • 100% Exam Readiness with Competency Based Questions"
